angle= 15; velocity= 15; mass= 1
       t;       x;       y;
0; 0;  0
0,01; 0,14488887394336; 0,0388228567653781
0,02; 0,289126019586658; 0,0749665572368764
0,03; 0,432067193394829; 0,109914353625703
0,04; 0,573085889616928; 0,14308949115658
0,05; 0,711583137738303; 0,173940365564734
0,06; 0,84699655678188; 0,20194880311425
0,07; 0,978808409683215; 0,226637433664125
0,08; 1,10655244300246; 0,247575961197638
0,09; 1,22981934804916; 0,264386182079023
0,1; 1,34826073612859; 0,27674565245915
0,11; 1,46159157984345; 0,28438995981733
0,12; 1,56959113093948; 0,287113606661842
0,13; 1,67210238000643; 0,284769564154226
0,14; 1,76903017178005; 0,277267597467961
0,15; 1,86033812974757; 0,264571501142853
0,16; 1,94604457382267; 0,246695410255827
0,17; 2,02621763432597; 0,223699371243168
0,18; 2,10096977438541; 0,195684364655031
0,19; 2,17045193178737; 0,162786971546149
0,2; 2,23484748141701; 0,125173866624448
0,21; 2,29436620225588; 0,0830363060573218
0,22; 2,34923841022155; 0,0365847575532267
0,23; 2,39970939178306; 0
